#|Morning Prayer||Evening Prayer||||First Lesson|Second Lesson|First Lesson|Second Lesson
proper|3|Wednesday|Wednesday|Job 17:3-end|1 Pet 2:11―3:7|Job 18|Mark 6:1-29
proper|3|Thursday|Thursday|Job 19 (20)|1 Pet 3:8―4:6|Job 21|Mark 6:30-end
proper|3|Friday|Friday|Job 22|1 Pet 4:7-end|Job 23|Mark 1:1-23
proper|3|Saturday|Saturday|Job 24|1 Pet 5|Job 25 & 26|Mark 7:24―8.:0
proper|4|Sunday|Sunday closest to June 1|Joshua 2|Mark 2:23―3.:9|1 Sam 16:1-13|Acts 2:1-21
proper|4|Monday|Monday|Job 27|2 Pet 1|Job 28|Mark 8:11―9:1
proper|4|Tuesday|Tuesday|Job 29:1―30:1 (2-31)|2 Pet 2|Job 31:(1-12) 13-end|Mark 9:2-29
proper|4|Wednesday|Wednesday|Job 32 & 33|2 Pet 3|Job 34 (35)|Mark 9:30-end
proper|4|Thursday|Thursday|Job 36 (37)|Jude|Job 38|Mark 10:1-31
proper|4|Friday|Friday|Job 39|1 John 1:1―2:6|Job 40|Mark 10:32-end
proper|4|Saturday|Saturday|Job 41|1 John 2:7-end|Job 42|Mark 11:1-26
proper|5|Sunday|Sunday closest to June 8|Joshua 3|Mark 3:20-end|1 Sam 17:1-11, 32-51|Acts 2:22-42 (43-end)
proper|5|Monday|Monday|Prov 1:1-19|1 John 3:1-12|Prov 1:20-end|Mark 11:27―12.:2
proper|5|Tuesday|Tuesday|Prov 2|1 John 3:13―4:6|Prov 3:1-26|Mark 12:13-34
proper|5|Wednesday|Wednesday|Prov 3:27―4.:9|1 John 4:7-end|Prov 4:20―5.:4 (15-23)|Mark 12:35―13.:3
proper|5|Thursday|Thursday|Prov 6:1-19 (20-35)|1 John 5|Prov (7) 8|Mark 13:14-end
proper|5|Friday|Friday|Prov 9|2 John|Prov 10:1-22|Mark 14:1-26
proper|5|Saturday|Saturday|Prov 11:1-25|3 John|Prov 12:10-end|Mark 14:27-52
proper|6|Sunday|Sunday closest to June 15|Joshua 5:13―6.:0|Mark 4:21-end|1 Sam 18:1-16|Acts 3:1-16 (17-end)
